Input File,Classes,Professors,LNS Perc,Total Nodes,Nodes Left,Total Time,Gap,Memory Used,LNS Time,LNS Calls,LNS Executions,LNS Sols Found,LNS Best Sols Found,GRASP Time,GRASP Calls,GRASP Sols Found,GRASP Best Sols Found,Best Sol At Node,Best Sol Found By
input1.csv,194,51,0.75,1580,0,13.617117,0.000000,164683694,7.759915,2,2,1,1,0,0,0,0,1539,lns
input2.csv,167,52,0.75,376,0,5.883292,0.000000,145751125,3.983708,1,1,1,1,0,0,0,0,345,lns
input3.csv,180,50,0.75,764,0,3.111419,0.000000,158056139,0.000083,0,0,0,0,0,0,0,0,764,relaxation
input4.csv,123,46,0.75,4704,0,208.704979,0.000000,96134579,200.208553,2,2,1,1,0,0,0,0,4700,relaxation
input5.csv,214,69,0.75,2115,0,212.427533,0.000000,267079631,200.277325,2,2,1,1,0,0,0,0,2111,relaxation
input6.csv,79,24,0.75,58,0,1.956308,0.000000,25281774,1.834739,1,1,1,1,0,0,0,0,50,lns
input7.csv,84,29,0.75,107899,69498,400.023001,0.018237,652354387,200.350243,7,7,1,1,0,0,0,0,50051,relaxation
input8.csv,166,46,0.75,2851,0,207.895093,0.000000,137744623,196.158845,1,1,1,1,0,0,0,0,2845,lns
input9.csv,104,35,0.75,4355,0,54.147659,0.000000,49898951,49.172406,1,1,1,1,0,0,0,0,4111,lns
input10.csv,113,31,0.75,485,0,1.169116,0.000000,47963506,0.470093,1,1,1,1,0,0,0,0,480,lns
input11.csv,100,31,0.75,231,0,1.129275,0.000000,45922091,0.636557,1,1,1,1,0,0,0,0,220,lns
input12.csv,115,37,0.75,3605,0,6.125138,0.000000,63027253,1.698693,2,2,1,1,0,0,0,0,44,lns
input13.csv,100,34,0.75,31318,0,242.479868,0.000000,45852717,200.307616,6,6,1,1,0,0,0,0,30726,relaxation
input14.csv,99,28,0.75,37174,0,66.427391,0.000000,47891589,15.488413,1,1,1,1,0,0,0,0,37174,lns
input15.csv,94,30,0.75,4804,0,115.885674,0.000000,43241149,110.623921,1,1,1,1,0,0,0,0,4732,lns
input16.csv,89,28,0.75,76,0,0.358379,0.000000,32561622,0.169762,2,2,1,1,0,0,0,0,21,lns
input17.csv,108,38,0.75,74689,64689,400.038264,0.019923,1121086869,200.242396,2,2,1,1,0,0,0,0,675,lns
input18.csv,121,38,0.75,355,0,2.991648,0.000000,72665094,1.820601,1,1,1,1,0,0,0,0,349,lns
input19.csv,95,29,0.75,407,0,1.180647,0.000000,38804384,0.648064,2,2,1,1,0,0,0,0,81,lns
input20.csv,104,37,0.75,58,0,19.637795,0.000000,63354283,19.149655,1,1,1,1,0,0,0,0,32,lns
input21.csv,104,31,0.75,1490,0,4.665983,0.000000,55561015,1.840608,2,2,1,1,0,0,0,0,1177,lns
input22.csv,133,41,0.75,91661,91629,400.048667,0.048414,541222322,200.067437,1,1,0,0,0,0,0,0,261,relaxation
input23.csv,118,35,0.75,433,0,1.744127,0.000000,67266093,0.591639,1,1,1,1,0,0,0,0,433,lns
input24.csv,117,33,0.75,95164,3068,400.034453,0.002008,115166114,200.232213,3,3,1,1,0,0,0,0,16473,relaxation
input25.csv,107,34,0.75,92,0,38.974236,0.000000,51912674,38.590332,1,1,1,1,0,0,0,0,92,lns
input26.csv,114,38,0.75,84284,80102,400.040817,0.052402,628046426,200.048853,1,1,0,0,0,0,0,0,19919,relaxation
input27.csv,125,39,0.75,717,0,8.217039,0.000000,81624109,6.625271,1,1,1,1,0,0,0,0,717,lns
input28.csv,114,39,0.75,136054,6129,400.039987,0.001805,153902351,200.214530,3,3,1,1,0,0,0,0,20509,relaxation
input29.csv,103,39,0.75,47,0,8.903023,0.000000,57391701,8.536622,1,1,1,1,0,0,0,0,46,lns
input30.csv,109,36,0.75,156,0,2.741943,0.000000,64680763,2.066775,1,1,1,1,0,0,0,0,156,lns
input31.csv,113,40,0.75,147,0,1.462882,0.000000,74718597,0.704799,1,1,1,1,0,0,0,0,114,lns
input32.csv,97,36,0.75,125042,1803,400.030955,0.002597,97780348,200.388498,5,5,0,0,0,0,0,0,93472,relaxation
input33.csv,104,36,0.75,98603,36121,400.033948,0.004866,465264598,200.175049,2,2,1,1,0,0,0,0,2435,lns
input34.csv,161,54,0.75,897,0,9.301326,0.000000,153511648,5.461875,2,2,1,1,0,0,0,0,839,lns
input35.csv,169,53,0.75,79386,5591,400.076778,0.001560,232728681,200.220029,2,2,1,1,0,0,0,0,152,lns
input36.csv,185,60,0.75,680,0,6.695519,0.000000,180498931,3.238178,2,2,1,1,0,0,0,0,611,lns
input37.csv,152,53,0.75,11883,0,39.955373,0.000000,138212916,14.651108,2,2,1,1,0,0,0,0,6332,lns
input38.csv,62,22,0.75,143,0,0.435964,0.000000,17310194,0.296246,1,1,1,1,0,0,0,0,121,lns
input39.csv,130,43,0.75,726,0,12.123495,0.000000,91832032,10.142213,2,2,1,1,0,0,0,0,463,lns
input40.csv,126,42,0.75,105945,1239,400.046000,0.002193,132134627,200.804044,15,15,0,0,0,0,0,0,30919,relaxation
input41.csv,137,42,0.75,105492,105226,400.051525,0.047337,617706342,200.069555,1,1,0,0,0,0,0,0,475,relaxation
input42.csv,142,35,0.75,228,0,5.895828,0.000000,89854688,4.685221,1,1,1,1,0,0,0,0,228,lns
