Input File,Classes,Professors,Total Nodes,Nodes Left,Total Time,LNS Time,Best Solution,Gap,Best Sol At Node,Best Sol Found By,Output Folder
input5.csv,214,69,13900,8037,400.124512,307.011393,1009.086580,1.01,11162,relaxation,2026-01-16_10:33:33
input11.csv,100,31,1092,0,3.896264,2.525310,397.000000,0.00,1090,relaxation,2026-01-16_10:40:13
input15.csv,94,30,172654,7526,400.023460,199.782303,416.000000,0.24,58196,relaxation,2026-01-16_10:40:17
input16.csv,89,28,2893,0,8.375715,4.392368,362.000000,0.00,2777,relaxation,2026-01-16_10:46:58
input19.csv,95,29,1488,0,5.743560,3.076608,359.000000,0.00,1478,relaxation,2026-01-16_10:47:06
input21.csv,104,31,3270,0,13.452499,6.277854,378.000000,0.00,3233,relaxation,2026-01-16_10:47:12
input25.csv,107,34,7663,0,37.636447,20.437899,458.000000,0.00,7663,relaxation,2026-01-16_10:47:25
input30.csv,109,36,1799,0,7.939888,4.482022,415.000000,0.00,1799,relaxation,2026-01-16_10:48:03
input35.csv,169,53,30315,20740,400.070451,268.921980,642.923077,2.21,7201,relaxation,2026-01-16_10:48:11
input42.csv,142,35,2736,0,20.188377,12.868576,515.000000,0.00,2736,relaxation,2026-01-16_10:54:52
