Input File,Classes,Professors,Total Nodes,Nodes Left,Total Time,LNS Time,Best Solution,Gap,Best Sol At Node,Best Sol Found By,Output Folder
input5.csv,214,69,1504,0,83.086662,43.312137,1008.000000,0.00,1471,lns,2026-01-16_10:55:12
input11.csv,100,31,1,0,0.829330,0.643818,397.000000,0.00,1,lns,2026-01-16_10:56:35
input15.csv,94,30,78572,2324,400.023405,200.502735,416.000000,0.24,58196,relaxation,2026-01-16_10:56:36
input16.csv,89,28,1,0,0.360296,0.246197,362.000000,0.00,1,lns,2026-01-16_11:03:16
input19.csv,95,29,79,0,2.726789,2.353351,359.000000,0.00,1,lns,2026-01-16_11:03:16
input21.csv,104,31,1055,0,4.416679,1.405368,378.000000,0.00,45,lns,2026-01-16_11:03:19
input25.csv,107,34,153,0,9.543743,8.663382,458.000000,0.00,153,lns,2026-01-16_11:03:24
input30.csv,109,36,312,0,2.356983,0.529839,415.000000,0.00,312,lns,2026-01-16_11:03:33
input35.csv,169,53,915,0,71.204722,60.486450,642.000000,0.00,208,lns,2026-01-16_11:03:36
input42.csv,142,35,1029,0,13.389621,5.303358,515.000000,0.00,1029,lns,2026-01-16_11:04:47
