Input File,Classes,Professors,LNS Perc,Total Nodes,Nodes Left,Total Time,Memory Used,LNS Time,LNS Sols Found,Best Sol At Node,Best Sol Found By
input11.csv,100,31,0.10,1092,0,3.819168,91852910,2.470496,286,1090,relaxation
input15.csv,94,30,0.10,173786,7569,400.024764,3956931636,199.501426,419,58196,relaxation
input16.csv,89,28,0.10,2893,0,7.483222,125759197,4.169756,211,2777,relaxation
input19.csv,95,29,0.10,1488,0,5.254595,90462718,2.961373,118,1478,relaxation
input23.csv,118,35,0.10,683,0,4.021334,101001551,2.484247,167,683,relaxation
input27.csv,125,39,0.10,2290,0,13.240466,205508770,8.556446,0,2290,relaxation
input32.csv,97,36,0.10,104162,102989,400.029862,4796046127,247.616734,641,315,relaxation
input36.csv,185,60,0.10,537,0,9.998245,243846979,6.231749,0,537,relaxation
input38.csv,62,22,0.10,274,0,0.386246,20536155,0.165638,52,251,relaxation
input42.csv,142,35,0.10,2736,0,20.048058,243630611,12.782546,0,2736,relaxation
