Input File,Classes,Professors,LNS Perc,Total Nodes,Nodes Left,Total Time,Memory Used,LNS Time,LNS Sols Found,Best Sol At Node,Best Sol Found By
input11.csv,100,31,0.10,1,0,0.846582,41164270,0.648858,1,1,lns
input15.csv,94,30,0.10,84141,2650,400.023602,2207858972,200.492168,0,58196,relaxation
input16.csv,89,28,0.10,1,0,0.356008,30160984,0.242435,1,1,lns
input19.csv,95,29,0.10,79,0,2.634954,37868750,2.273682,1,1,lns
input23.csv,118,35,0.10,1,0,10.834283,60702311,10.479250,1,1,lns
input27.csv,125,39,0.10,198,0,7.851354,88403009,6.310833,1,198,lns
input32.csv,97,36,0.10,85224,1139,400.029752,1976622076,200.123641,1,1,lns
input36.csv,185,60,0.10,246,0,13.682467,194934619,10.319371,1,93,lns
input38.csv,62,22,0.10,1,0,0.295614,15386228,0.252435,1,1,lns
input42.csv,142,35,0.10,1029,0,12.904113,143421444,5.021242,1,1029,lns
