Input File,Classes,Professors,LNS Perc,Total Nodes,Nodes Left,Total Time,Memory Used,LNS Time,LNS Sols Found,Best Sol At Node,Best Sol Found By
input11.csv,100,31,0.10,1177,0,3.532954,41808118,1.670070,1,1174,lns
input15.csv,94,30,0.10,1424,0,111.239072,39269592,108.747247,1,1340,lns
input16.csv,89,28,0.10,218,0,1.224877,30529886,0.879884,1,89,lns
input19.csv,95,29,0.10,208,0,1.411201,35307694,1.040765,1,112,lns
input23.csv,118,35,0.10,569,0,18.439445,61491191,16.834696,1,569,lns
input27.csv,125,39,0.10,198,0,10.385504,77925825,9.344004,1,198,lns
input32.csv,97,36,0.10,132233,889,400.041074,67009940,200.183652,1,174,lns
input36.csv,185,60,0.10,246,0,12.582110,173715899,11.055222,1,93,lns
input38.csv,62,22,0.10,128,0,0.295284,15784644,0.184456,1,98,lns
input42.csv,142,35,0.10,1029,0,8.043711,81778180,5.223711,1,1029,lns
