Input File,Classes,Professors,Total Nodes,Nodes Left,Total Time,LNS Time,Best Solution,Gap,Best Sol At Node,Best Sol Found By,Output Folder
input2.csv,167,52,596,0,17.658511,15.040538,710.000000,0.00,588,lns,2026-01-14_09:56:53
input5.csv,214,69,17453,0,145.036959,30.920629,1008.000000,0.00,17453,relaxation,2026-01-14_09:57:11
input6.csv,79,24,201,0,2.397749,2.213869,321.000000,0.00,197,lns,2026-01-14_09:59:36
input7.csv,84,29,284200,60540,400.021511,30.182651,335.000000,0.60,119381,relaxation,2026-01-14_09:59:39
input9.csv,104,35,40138,0,72.332872,30.106723,480.000000,0.00,40138,relaxation,2026-01-14_10:06:19
input13.csv,100,34,30940,0,59.564198,30.127452,490.000000,0.00,30127,relaxation,2026-01-14_10:07:31
input19.csv,95,29,208,0,1.435148,1.078172,359.000000,0.00,112,lns,2026-01-14_10:08:31
input20.csv,104,37,1663,0,4.563908,2.209714,411.000000,0.00,38,lns,2026-01-14_10:08:32
input26.csv,114,38,2055,0,24.668598,20.627151,482.000000,0.00,2027,lns,2026-01-14_10:08:37
input34.csv,161,54,7210,0,26.082112,4.741227,648.000000,0.00,7205,lns,2026-01-14_10:09:01
