Input File,Classes,Professors,LNS Perc,Total Nodes,Nodes Left,Total Time,Memory Used,LNS Time,LNS Sols Found,Best Sol At Node,Best Sol Found By
input6.csv,79,24,0.50,201,0,2.109632,23150557,1.931590,1,197,lns
input7.csv,84,29,0.50,321935,69812,400.020672,639906021,30.168656,0,119381,relaxation
input10.csv,113,31,0.50,397,0,2.829930,44262148,2.338877,1,396,lns
input14.csv,99,28,0.50,14127,0,47.817901,42475215,30.060760,1,14127,relaxation
input22.csv,133,41,0.50,164932,29754,400.052908,549755933,30.250211,0,128989,relaxation
input27.csv,125,39,0.50,198,0,7.100376,77925825,6.297032,1,198,lns
input28.csv,114,39,0.50,88282,0,160.260646,74550439,30.228884,1,88282,relaxation
input31.csv,113,40,0.50,169,0,5.098776,68381971,4.442884,1,56,lns
input36.csv,185,60,0.50,246,0,11.828995,173715899,10.373604,1,93,lns
input41.csv,137,42,0.50,148767,79222,400.045279,1276272678,30.127344,0,10221,relaxation
