Input File,Classes,Professors,LNS Perc,Total Nodes,Nodes Left,Total Time,Memory Used,LNS Time,LNS Sols Found,Best Sol At Node,Best Sol Found By
input6.csv,79,24,0.50,1198,0,0.951007,23564736,teste_relax.config,0,1157,relaxation
input7.csv,84,29,0.50,347205,76079,400.021662,702423149,teste_relax.config,0,119381,relaxation
input10.csv,113,31,0.50,1389,0,2.064464,44317700,teste_relax.config,0,1389,relaxation
input14.csv,99,28,0.50,8457,0,11.035700,40408055,teste_relax.config,0,8457,relaxation
input22.csv,133,41,0.50,180209,34066,400.043143,604485317,teste_relax.config,0,128989,relaxation
input27.csv,125,39,0.50,2290,0,4.011703,79481522,teste_relax.config,0,2290,relaxation
input28.csv,114,39,0.50,341366,22839,400.035857,277634511,teste_relax.config,0,45033,relaxation
input31.csv,113,40,0.50,431,0,0.951131,68430563,teste_relax.config,0,395,relaxation
input36.csv,185,60,0.50,537,0,3.365730,173371259,teste_relax.config,0,537,relaxation
input41.csv,137,42,0.50,163037,87010,400.048228,1392005046,teste_relax.config,0,10221,relaxation
