Input File,Classes,Professors,Total Nodes,Nodes Left,Total Time,LNS Time,Best Solution,Gap,Best Sol At Node,Best Sol Found By,Output Folder
input4.csv,123,46,179452,19507,400.047891,30.382792,490.000000,0.20,92545,relaxation,2026-01-14_23:25:39
input5.csv,214,69,17453,0,141.474787,30.902714,1008.000000,0.00,17453,relaxation,2026-01-14_23:32:19
input12.csv,115,37,3394,0,25.836396,22.251962,521.000000,0.00,58,lns,2026-01-14_23:34:41
input15.csv,94,30,258471,62452,400.023863,30.231582,416.000000,0.73,187826,relaxation,2026-01-14_23:35:07
input16.csv,89,28,218,0,0.715295,0.489015,362.000000,0.00,89,lns,2026-01-14_23:41:47
input17.csv,108,38,221893,4652,400.034284,30.268041,510.000000,0.20,51985,relaxation,2026-01-14_23:41:48
input20.csv,104,37,1663,0,4.318893,2.144175,411.000000,0.00,38,lns,2026-01-14_23:48:28
input33.csv,104,36,183042,47063,400.030862,30.290237,413.000000,0.49,52600,relaxation,2026-01-14_23:48:32
input37.csv,152,53,9211,0,31.620190,10.323200,616.000000,0.00,9210,lns,2026-01-14_23:55:12
input38.csv,62,22,128,0,0.280513,0.184372,247.000000,0.00,98,lns,2026-01-14_23:55:44
