Input File,Classes,Professors,Total Nodes,Nodes Left,Total Time,LNS Time,Best Solution,Gap,Best Sol At Node,Best Sol Found By,Output Folder
input4.csv,123,46,179792,19541,400.043749,30.387708,490.000000,0.20,92545,relaxation,2026-01-14_23:55:44
input5.csv,214,69,17453,0,140.637787,30.902739,1008.000000,0.00,17453,relaxation,2026-01-15_00:02:24
input12.csv,115,37,3394,0,25.699735,22.136695,521.000000,0.00,58,lns,2026-01-15_00:04:45
input15.csv,94,30,254324,61546,400.024446,30.240238,416.000000,0.73,187826,relaxation,2026-01-15_00:05:11
input16.csv,89,28,218,0,0.722532,0.492175,362.000000,0.00,89,lns,2026-01-15_00:11:51
input17.csv,108,38,221390,4667,400.035219,30.268647,510.000000,0.20,51985,relaxation,2026-01-15_00:11:52
input20.csv,104,37,1663,0,4.400115,2.172051,411.000000,0.00,38,lns,2026-01-15_00:18:32
input33.csv,104,36,180168,46243,400.030871,30.290273,413.000000,0.49,52600,relaxation,2026-01-15_00:18:36
input37.csv,152,53,9211,0,31.605267,10.240583,616.000000,0.00,9210,lns,2026-01-15_00:25:17
input38.csv,62,22,128,0,0.283739,0.187500,247.000000,0.00,98,lns,2026-01-15_00:25:48
