Input File,Classes,Professors,LNS Perc,Total Nodes,Nodes Left,Total Time,Memory Used,LNS Time,LNS Sols Found,Best Sol At Node,Best Sol Found By
input6.csv,79,24,0.10,201,0,2.186065,23150557,1.997857,1,197,lns
input8.csv,166,46,0.10,31163,0,173.895084,134355236,30.138362,0,31163,relaxation
input12.csv,115,37,0.10,3394,0,26.287234,58089504,22.660602,1,58,lns
input16.csv,89,28,0.10,218,0,0.729446,30529886,0.500284,1,89,lns
input23.csv,118,35,0.10,569,0,13.163430,61491191,11.950150,1,569,lns
input24.csv,117,33,0.10,138917,0,311.055139,76161820,30.204383,0,138917,relaxation
input29.csv,103,39,0.10,432,0,20.109014,54812450,19.339512,1,431,lns
input31.csv,113,40,0.10,169,0,6.085916,68381971,5.399396,1,56,lns
input34.csv,161,54,0.10,7210,0,25.648244,140956505,4.356032,1,7205,lns
input38.csv,62,22,0.10,128,0,0.285101,15784644,0.188424,1,98,lns











