Input File,Classes,Professors,LNS Perc,Total Nodes,Nodes Left,Total Time,Memory Used,LNS Time,LNS Sols Found,Best Sol At Node,Best Sol Found By
input6.csv,79,24,0.10,201,0,2.135071,23150557,1.952761,1,197,lns
input8.csv,166,46,0.10,31163,0,168.523201,134355236,30.144128,0,31163,relaxation
input12.csv,115,37,0.10,3394,0,26.789036,58089504,23.059272,1,58,lns
input16.csv,89,28,0.10,218,0,0.745031,30529886,0.513210,1,89,lns
input23.csv,118,35,0.10,569,0,13.376372,61491191,12.173900,1,569,lns
input24.csv,117,33,0.10,138917,0,308.883749,76161820,30.196114,0,138917,relaxation
input29.csv,103,39,0.10,432,0,20.252700,54812450,19.454558,1,431,lns
input31.csv,113,40,0.10,169,0,5.436499,68381971,4.770605,1,56,lns
input34.csv,161,54,0.10,7210,0,25.095065,140956505,4.403391,1,7205,lns
input38.csv,62,22,0.10,128,0,0.304133,15784644,0.204557,1,98,lns
