Input File,Classes,Professors,LNS Perc,Total Nodes,Nodes Left,Total Time,Memory Used,LNS Time,LNS Sols Found,Best Sol At Node,Best Sol Found By
input6.csv,79,24,0.50,1198,0,1.013706,23564736,teste_relax.config,0,1157,relaxation
input8.csv,166,46,0.50,31163,0,134.755892,134354916,teste_relax.config,0,31163,relaxation
input12.csv,115,37,0.50,3003,0,5.530431,58445043,teste_relax.config,0,2894,relaxation
input16.csv,89,28,0.50,2893,0,2.974717,31245197,teste_relax.config,0,2777,relaxation
input23.csv,118,35,0.50,683,0,1.398261,61459191,teste_relax.config,0,683,relaxation
input24.csv,117,33,0.50,138917,0,274.675695,76161500,teste_relax.config,0,138917,relaxation
input29.csv,103,39,0.50,364484,13970,400.033239,193385878,teste_relax.config,0,4920,relaxation
input31.csv,113,40,0.50,431,0,0.978492,68430563,teste_relax.config,0,395,relaxation
input34.csv,161,54,0.50,7230,0,19.394291,140852113,teste_relax.config,0,7225,relaxation
input38.csv,62,22,0.50,201,0,0.160215,15802340,teste_relax.config,0,172,relaxation
