Input File,Classes,Professors,LNS Perc,Total Nodes,Nodes Left,Total Time,Gap,Memory Used,LNS Time,LNS Calls,LNS Executions,LNS Sols Found,LNS Best Sols Found,GRASP Time,GRASP Calls,GRASP Sols Found,GRASP Best Sols Found,Best Sol At Node,Best Sol Found By
input1.csv,194,51,0.75,1580,0,13.504374,0.000000,164683694,7.587209,2,2,1,1,0,0,0,0,1539,lns
input2.csv,167,52,0.75,376,0,5.805300,0.000000,145751125,3.860512,1,1,1,1,0,0,0,0,345,lns
input3.csv,180,50,0.75,764,0,3.122588,0.000000,158056139,0.000094,0,0,0,0,0,0,0,0,764,relaxation
input4.csv,123,46,0.75,4704,0,208.695457,0.000000,96134579,200.122982,2,2,1,1,0,0,0,0,4700,relaxation
input5.csv,214,69,0.75,2115,0,212.275992,0.000000,267079631,200.076468,2,2,1,1,0,0,0,0,2111,relaxation
input6.csv,79,24,0.75,58,0,1.986569,0.000000,25281774,1.858823,1,1,1,1,0,0,0,0,50,lns
input7.csv,84,29,0.75,107593,69299,400.024168,0.018237,650698091,200.220990,7,7,1,1,0,0,0,0,50051,relaxation
input8.csv,166,46,0.75,2851,0,206.173668,0.000000,137744623,194.498338,1,1,1,1,0,0,0,0,2845,lns
input9.csv,104,35,0.75,4355,0,53.609677,0.000000,49898951,48.614497,1,1,1,1,0,0,0,0,4111,lns
input10.csv,113,31,0.75,485,0,1.165717,0.000000,47963506,0.445360,1,1,1,1,0,0,0,0,480,lns
input11.csv,100,31,0.75,231,0,1.121324,0.000000,45922091,0.630084,1,1,1,1,0,0,0,0,220,lns
input12.csv,115,37,0.75,3605,0,6.085178,0.000000,63027253,1.668094,2,2,1,1,0,0,0,0,44,lns
input13.csv,100,34,0.75,31318,0,242.093252,0.000000,45852717,200.152924,6,6,1,1,0,0,0,0,30726,relaxation
input14.csv,99,28,0.75,37174,0,65.949488,0.000000,47891589,15.240324,1,1,1,1,0,0,0,0,37174,lns
input15.csv,94,30,0.75,4804,0,111.969616,0.000000,43241149,106.843318,1,1,1,1,0,0,0,0,4732,lns
input16.csv,89,28,0.75,76,0,0.316634,0.000000,32561622,0.142224,2,2,1,1,0,0,0,0,21,lns
input17.csv,108,38,0.75,74640,64640,400.037818,0.019923,1120464333,200.167645,2,2,1,1,0,0,0,0,675,lns
input18.csv,121,38,0.75,355,0,2.946770,0.000000,72665094,1.769077,1,1,1,1,0,0,0,0,349,lns
input19.csv,95,29,0.75,407,0,1.184894,0.000000,38804384,0.641296,2,2,1,1,0,0,0,0,81,lns
input20.csv,104,37,0.75,58,0,19.512945,0.000000,63354283,19.017016,1,1,1,1,0,0,0,0,32,lns
input21.csv,104,31,0.75,1490,0,4.657913,0.000000,55561015,1.800044,2,2,1,1,0,0,0,0,1177,lns
input22.csv,133,41,0.75,90846,90814,400.050263,0.048414,536115938,200.010191,1,1,0,0,0,0,0,0,261,relaxation
input23.csv,118,35,0.75,433,0,1.752601,0.000000,67266093,0.566752,1,1,1,1,0,0,0,0,433,lns
input24.csv,117,33,0.75,95654,3092,400.034059,0.002008,115225650,200.134900,3,3,1,1,0,0,0,0,16473,relaxation
input25.csv,107,34,0.75,92,0,38.514180,0.000000,51912674,38.127548,1,1,1,1,0,0,0,0,92,lns
input26.csv,114,38,0.75,83800,79626,400.039756,0.052402,624947442,200.014232,1,1,0,0,0,0,0,0,19919,relaxation
input27.csv,125,39,0.75,717,0,8.192725,0.000000,81624109,6.588248,1,1,1,1,0,0,0,0,717,lns
input28.csv,114,39,0.75,136071,6129,400.039612,0.001805,153950567,200.103872,3,3,1,1,0,0,0,0,20509,relaxation
input29.csv,103,39,0.75,47,0,9.028651,0.000000,57391701,8.660885,1,1,1,1,0,0,0,0,46,lns
input30.csv,109,36,0.75,156,0,2.711376,0.000000,64680763,2.031356,1,1,1,1,0,0,0,0,156,lns
input31.csv,113,40,0.75,147,0,1.448372,0.000000,74718597,0.681449,1,1,1,1,0,0,0,0,114,lns
input32.csv,97,36,0.75,125214,1800,400.030739,0.002597,97723668,200.245008,5,5,0,0,0,0,0,0,93472,relaxation
input33.csv,104,36,0.75,99314,36439,400.034208,0.004866,468189398,200.103988,2,2,1,1,0,0,0,0,2435,lns
input34.csv,161,54,0.75,897,0,9.063279,0.000000,153511648,5.206298,2,2,1,1,0,0,0,0,839,lns
input35.csv,169,53,0.75,77480,5586,400.074961,0.001560,234225937,200.078484,2,2,1,1,0,0,0,0,152,lns
input36.csv,185,60,0.75,680,0,6.571435,0.000000,180498931,3.108064,2,2,1,1,0,0,0,0,611,lns
input37.csv,152,53,0.75,11883,0,39.617226,0.000000,138212916,14.359600,2,2,1,1,0,0,0,0,6332,lns
input38.csv,62,22,0.75,143,0,0.423798,0.000000,17310194,0.281435,1,1,1,1,0,0,0,0,121,lns
input39.csv,130,43,0.75,726,0,12.127090,0.000000,91832032,10.126066,2,2,1,1,0,0,0,0,463,lns
input40.csv,126,42,0.75,110153,1288,400.046003,0.002193,133655387,200.206467,15,15,0,0,0,0,0,0,30919,relaxation
input41.csv,137,42,0.75,105471,105205,400.051045,0.047337,617584214,200.012150,1,1,0,0,0,0,0,0,475,relaxation
input42.csv,142,35,0.75,228,0,5.804690,0.000000,89854688,4.576737,1,1,1,1,0,0,0,0,228,lns
