Input File,Classes,Professors,Total Nodes,Nodes Left,Total Time,LNS Time,Best Solution,Gap,Best Sol At Node,Best Sol Found By,Output Folder
input6.csv,79,24,201,0,2.145118,1.958241,321.000000,0.00,197,lns,2026-01-15_17:52:20
input14.csv,99,28,14127,0,118.436538,100.079096,329.000000,0.00,14127,relaxation,2026-01-15_17:52:23
input15.csv,94,30,1424,0,76.312447,74.696639,416.000000,0.00,1340,lns,2026-01-15_17:54:21
input21.csv,104,31,1262,0,3.048787,1.465482,378.000000,0.00,111,lns,2026-01-15_17:55:37
input22.csv,133,41,123926,50411,400.043691,100.296623,628.000000,0.48,15206,relaxation,2026-01-15_17:55:41
input23.csv,118,35,569,0,12.655805,11.487786,444.000000,0.00,569,lns,2026-01-15_18:02:21
input27.csv,125,39,198,0,7.328263,6.514467,464.000000,0.00,198,lns,2026-01-15_18:02:33
input29.csv,103,39,432,0,19.397547,18.631784,516.000000,0.00,431,lns,2026-01-15_18:02:41
input33.csv,104,36,201280,1524,400.030989,100.130096,413.000000,0.24,2103,lns,2026-01-15_18:03:00
input38.csv,62,22,128,0,0.277890,0.181241,247.000000,0.00,98,lns,2026-01-15_18:09:40
