Input File,Classes,Professors,Total Nodes,Nodes Left,Total Time,LNS Time,Best Solution,Gap,Best Sol At Node,Best Sol Found By,Output Folder
input4.csv,123,46,183157,19797,400.045150,teste_relax.config,490.000000,0.20,92545,relaxation,2026-01-16_13:56:03
input5.csv,214,69,17453,0,114.184269,teste_relax.config,1008.000000,0.00,17453,relaxation,2026-01-16_14:02:43
input12.csv,115,37,3003,0,5.788113,teste_relax.config,521.000000,0.00,2894,relaxation,2026-01-16_14:04:37
input15.csv,94,30,268623,64711,400.025506,teste_relax.config,416.000000,0.73,187826,relaxation,2026-01-16_14:04:43
input16.csv,89,28,2893,0,3.073420,teste_relax.config,362.000000,0.00,2777,relaxation,2026-01-16_14:11:23
input17.csv,108,38,228856,4673,400.038037,teste_relax.config,510.000000,0.20,51985,relaxation,2026-01-16_14:11:26
input20.csv,104,37,334,0,0.895979,teste_relax.config,411.000000,0.00,147,relaxation,2026-01-16_14:18:06
input33.csv,104,36,193583,50279,400.030656,teste_relax.config,413.000000,0.49,52600,relaxation,2026-01-16_14:18:07
input37.csv,152,53,25406,0,68.000089,teste_relax.config,616.000000,0.00,25406,relaxation,2026-01-16_14:24:47
input38.csv,62,22,201,0,0.158949,teste_relax.config,247.000000,0.00,172,relaxation,2026-01-16_14:25:55
